"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\dimas\VR-Adha\Assets\Scripts\ActivityData.cs", "C#", 8, 0, 3, 11
"c:\Users\dimas\VR-Adha\Assets\Scripts\ActivityLogger.cs", "C#", 23, 0, 6, 29
"c:\Users\dimas\VR-Adha\Assets\Scripts\ActivityNavigator.cs", "C#", 41, 0, 8, 49
"c:\Users\dimas\VR-Adha\Assets\Scripts\ApiHandler.cs", "C#", 35, 0, 8, 43
"c:\Users\dimas\VR-Adha\Assets\Scripts\AutoRecenter.cs", "C#", 30, 5, 9, 44
"c:\Users\dimas\VR-Adha\Assets\Scripts\BackgroundMusic.cs", "C#", 14, 1, 3, 18
"c:\Users\dimas\VR-Adha\Assets\Scripts\ButtonSelector.cs", "C#", 105, 4, 21, 130
"c:\Users\dimas\VR-Adha\Assets\Scripts\CountDownTimer.cs", "C#", 56, 1, 13, 70
"c:\Users\dimas\VR-Adha\Assets\Scripts\CrosshairRaycaster.cs", "C#", 75, 18, 19, 112
"c:\Users\dimas\VR-Adha\Assets\Scripts\DadGenPicker.cs", "C#", 81, 5, 17, 103
"c:\Users\dimas\VR-Adha\Assets\Scripts\FoodClickHandler.cs", "C#", 66, 1, 16, 83
"c:\Users\dimas\VR-Adha\Assets\Scripts\FoodData.cs", "C#", 12, 0, 5, 17
"c:\Users\dimas\VR-Adha\Assets\Scripts\FoodInfoDisplay.cs", "C#", 63, 3, 12, 78
"c:\Users\dimas\VR-Adha\Assets\Scripts\FoodListHandler.cs", "C#", 25, 0, 5, 30
"c:\Users\dimas\VR-Adha\Assets\Scripts\FoodLogger.cs", "C#", 26, 0, 6, 32
"c:\Users\dimas\VR-Adha\Assets\Scripts\GenGenerator.cs", "C#", 59, 3, 16, 78
"c:\Users\dimas\VR-Adha\Assets\Scripts\GeneResultBooststrap.cs", "C#", 14, 1, 3, 18
"c:\Users\dimas\VR-Adha\Assets\Scripts\GeneResultData.cs", "C#", 26, 3, 6, 35
"c:\Users\dimas\VR-Adha\Assets\Scripts\GeneSlider.cs", "C#", 55, 3, 17, 75
"c:\Users\dimas\VR-Adha\Assets\Scripts\GenerateButtonBinder.cs", "C#", 14, 2, 3, 19
"c:\Users\dimas\VR-Adha\Assets\Scripts\GetNutrition.cs", "C#", 131, 0, 22, 153
"c:\Users\dimas\VR-Adha\Assets\Scripts\GlucoseDataStore.cs", "C#", 4, 0, 2, 6
"c:\Users\dimas\VR-Adha\Assets\Scripts\GlucoseLevel.cs", "C#", 192, 13, 35, 240
"c:\Users\dimas\VR-Adha\Assets\Scripts\GoogleFormSender.cs", "C#", 310, 2, 38, 350
"c:\Users\dimas\VR-Adha\Assets\Scripts\GraphHistoryVisualizer.cs", "C#", 165, 9, 36, 210
"c:\Users\dimas\VR-Adha\Assets\Scripts\HandTracking.cs", "C#", 16, 1, 5, 22
"c:\Users\dimas\VR-Adha\Assets\Scripts\InputSubmitHandler.cs", "C#", 31, 0, 5, 36
"c:\Users\dimas\VR-Adha\Assets\Scripts\Instruction.cs", "C#", 10, 0, 3, 13
"c:\Users\dimas\VR-Adha\Assets\Scripts\InsulinInjection.cs", "C#", 37, 0, 9, 46
"c:\Users\dimas\VR-Adha\Assets\Scripts\Login.cs", "C#", 58, 0, 12, 70
"c:\Users\dimas\VR-Adha\Assets\Scripts\MainGameInstruction.cs", "C#", 54, 0, 8, 62
"c:\Users\dimas\VR-Adha\Assets\Scripts\MenuMakanList.cs", "C#", 94, 11, 20, 125
"c:\Users\dimas\VR-Adha\Assets\Scripts\MenuMakanNavigator.cs", "C#", 64, 2, 14, 80
"c:\Users\dimas\VR-Adha\Assets\Scripts\MetadataFood.cs", "C#", 9, 0, 3, 12
"c:\Users\dimas\VR-Adha\Assets\Scripts\MomGenPicker.cs", "C#", 61, 4, 12, 77
"c:\Users\dimas\VR-Adha\Assets\Scripts\NewInstruction.cs", "C#", 19, 0, 4, 23
"c:\Users\dimas\VR-Adha\Assets\Scripts\NextButton.cs", "C#", 30, 2, 7, 39
"c:\Users\dimas\VR-Adha\Assets\Scripts\NutritionInfoDisplay.cs", "C#", 60, 4, 10, 74
"c:\Users\dimas\VR-Adha\Assets\Scripts\RemoveFoodList.cs", "C#", 11, 0, 4, 15
"c:\Users\dimas\VR-Adha\Assets\Scripts\RiskDiabetes.cs", "C#", 36, 0, 3, 39
"c:\Users\dimas\VR-Adha\Assets\Scripts\SaveGeneticButton.cs", "C#", 93, 1, 19, 113
"c:\Users\dimas\VR-Adha\Assets\Scripts\SaveIdentityButton.cs", "C#", 67, 7, 16, 90
"c:\Users\dimas\VR-Adha\Assets\Scripts\SceneLoadHandler.cs", "C#", 53, 3, 9, 65
"c:\Users\dimas\VR-Adha\Assets\Scripts\SetTimeAxis.cs", "C#", 18, 1, 5, 24
"c:\Users\dimas\VR-Adha\Assets\Scripts\ShowCreatedGen.cs", "C#", 31, 0, 8, 39
"c:\Users\dimas\VR-Adha\Assets\Scripts\ShowGeneResult.cs", "C#", 198, 3, 38, 239
"c:\Users\dimas\VR-Adha\Assets\Scripts\ShowResult.cs", "C#", 110, 0, 17, 127
"c:\Users\dimas\VR-Adha\Assets\Scripts\SpoonacularServices.cs", "C#", 159, 4, 30, 193
"c:\Users\dimas\VR-Adha\Assets\Scripts\StageLoader.cs", "C#", 49, 0, 10, 59
"c:\Users\dimas\VR-Adha\Assets\Scripts\StoredData.cs", "C#", 12, 0, 2, 14
"c:\Users\dimas\VR-Adha\Assets\Scripts\Summary.cs", "C#", 73, 3, 13, 89
"c:\Users\dimas\VR-Adha\Assets\Scripts\SummaryAct.cs", "C#", 81, 6, 15, 102
"c:\Users\dimas\VR-Adha\Assets\Scripts\VRMobileController.cs", "C#", 90, 12, 20, 122
"c:\Users\dimas\VR-Adha\Assets\Scripts\actClickHandler.cs", "C#", 59, 2, 11, 72
"c:\Users\dimas\VR-Adha\Assets\Scripts\glucoseUI.cs", "C#", 33, 0, 6, 39
"c:\Users\dimas\VR-Adha\Assets\Scripts\guide.cs", "C#", 50, 3, 13, 66
"c:\Users\dimas\VR-Adha\Assets\Scripts\resultInstruction.cs", "C#", 19, 0, 4, 23
"c:\Users\dimas\VR-Adha\Assets\Scripts\saveFinalButton.cs", "C#", 269, 4, 38, 311
"c:\Users\dimas\VR-Adha\Assets\Scripts\showButton.cs", "C#", 16, 0, 5, 21
"c:\Users\dimas\VR-Adha\Assets\Scripts\summaryInstruction.cs", "C#", 12, 0, 3, 15
"Total", "-", 3712, 147, 730, 4589
